index,date,views
1,2020-01-01,0
2,2020-01-02,3
3,2020-01-03,4
4,2020-01-04,4
5,2020-01-05,4
6,2020-01-06,5
7,2020-01-07,5
8,2020-01-08,10
9,2020-01-09,12
10,2020-01-10,13
11,2020-01-11,21
12,2020-01-12,29
13,2020-01-13,39
14,2020-01-14,46
15,2020-01-15,54
16,2020-01-16,55
17,2020-01-17,56
18,2020-01-18,57
19,2020-01-19,65
20,2020-01-20,72
21,2020-01-21,77
22,2020-01-22,80
23,2020-01-23,87
24,2020-01-24,88
25,2020-01-25,91
26,2020-01-26,101
27,2020-01-27,103
28,2020-01-28,111
29,2020-01-29,113
30,2020-01-30,116
31,2020-01-31,124
32,2020-02-01,172
33,2020-02-02,200
34,2020-02-03,218
35,2020-02-04,225
36,2020-02-05,242
37,2020-02-06,249
38,2020-02-07,286
39,2020-02-08,315
40,2020-02-09,359
41,2020-02-10,409
42,2020-02-11,441
43,2020-02-12,479
44,2020-02-13,510
45,2020-02-14,537
46,2020-02-15,580
47,2020-02-16,616
48,2020-02-17,622
49,2020-02-18,664
50,2020-02-19,686
51,2020-02-20,726
52,2020-02-21,761
53,2020-02-22,780
54,2020-02-23,808
55,2020-02-24,852
56,2020-02-25,870
57,2020-02-26,875
58,2020-02-27,906
59,2020-02-28,943
60,2020-02-29,980
61,2020-03-01,994
62,2020-03-02,1020
63,2020-03-03,1030
64,2020-03-04,1042
65,2020-03-05,1081
66,2020-03-06,1122
67,2020-03-07,1140
68,2020-03-08,1157
69,2020-03-09,1207
70,2020-03-10,1237
71,2020-03-11,1269
72,2020-03-12,1306
73,2020-03-13,1338
74,2020-03-14,1346
75,2020-03-15,1392
76,2020-03-16,1430
77,2020-03-17,1461
78,2020-03-18,1497
79,2020-03-19,1547
80,2020-03-20,1572
81,2020-03-21,1598
82,2020-03-22,1615
83,2020-03-23,1658
84,2020-03-24,1689
85,2020-03-25,1737
86,2020-03-26,1763
87,2020-03-27,1811
88,2020-03-28,1818
89,2020-03-29,1860
90,2020-03-30,1869
91,2020-03-31,1953
92,2020-04-01,2230
93,2020-04-02,2425
94,2020-04-03,2565
95,2020-04-04,2737
96,2020-04-05,2825
97,2020-04-06,2991
98,2020-04-07,3180
99,2020-04-08,3441
100,2020-04-09,3683
101,2020-04-10,3766
102,2020-04-11,3992
103,2020-04-12,4056
104,2020-04-13,4121
105,2020-04-14,4226
106,2020-04-15,4387
107,2020-04-16,4473
108,2020-04-17,4595
109,2020-04-18,4840
110,2020-04-19,5070
111,2020-04-20,5249
112,2020-04-21,5459
113,2020-04-22,5739
114,2020-04-23,5920
115,2020-04-24,6021
116,2020-04-25,6296
117,2020-04-26,6427
118,2020-04-27,6541
119,2020-04-28,6804
120,2020-04-29,6998
121,2020-04-30,7125
122,2020-05-01,7533
123,2020-05-02,7516
124,2020-05-03,7500
125,2020-05-04,7945
126,2020-05-05,8107
127,2020-05-06,8566
128,2020-05-07,8701
129,2020-05-08,8833
130,2020-05-09,9160
131,2020-05-10,9510
132,2020-05-11,9982
133,2020-05-12,9948
134,2020-05-13,10273
135,2020-05-14,10468
136,2020-05-15,10712
137,2020-05-16,11039
138,2020-05-17,11274
139,2020-05-18,11460
140,2020-05-19,11440
141,2020-05-20,11891
142,2020-05-21,12203
143,2020-05-22,12587
144,2020-05-23,13018
145,2020-05-24,12990
146,2020-05-25,13188
147,2020-05-26,13603
148,2020-05-27,13999
149,2020-05-28,14255
150,2020-05-29,14491
151,2020-05-30,14762
152,2020-05-31,15103
153,2020-06-01,15079
154,2020-06-02,15366
155,2020-06-03,15582
156,2020-06-04,15537
157,2020-06-05,15721
158,2020-06-06,16078
159,2020-06-07,16484
160,2020-06-08,16611
161,2020-06-09,16820
162,2020-06-10,17205
163,2020-06-11,17185
164,2020-06-12,17523
165,2020-06-13,17968
166,2020-06-14,18241
167,2020-06-15,18222
168,2020-06-16,18357
169,2020-06-17,18746
170,2020-06-18,19077
171,2020-06-19,19262
172,2020-06-20,19237
173,2020-06-21,19534
174,2020-06-22,19884
175,2020-06-23,19869
176,2020-06-24,19993
177,2020-06-25,20240
178,2020-06-26,20624
179,2020-06-27,20603
180,2020-06-28,21053
181,2020-06-29,21142
182,2020-06-30,21071
183,2020-07-01,21119
184,2020-07-02,21068
185,2020-07-03,21157
186,2020-07-04,21189
187,2020-07-05,21316
188,2020-07-06,21315
189,2020-07-07,21275
190,2020-07-08,21353
191,2020-07-09,21258
192,2020-07-10,21381
193,2020-07-11,21293
194,2020-07-12,21248
195,2020-07-13,21250
196,2020-07-14,21398
197,2020-07-15,21401
198,2020-07-16,21438
199,2020-07-17,21584
200,2020-07-18,21557
201,2020-07-19,21697
202,2020-07-20,21698
203,2020-07-21,21790
204,2020-07-22,21744
205,2020-07-23,21824
206,2020-07-24,21896
207,2020-07-25,21934
208,2020-07-26,21907
209,2020-07-27,21819
210,2020-07-28,21816
211,2020-07-29,21905
212,2020-07-30,21907
213,2020-07-31,21832
214,2020-08-01,21771
215,2020-08-02,21766
216,2020-08-03,21743
217,2020-08-04,21683
218,2020-08-05,21615
219,2020-08-06,21572
220,2020-08-07,21546
221,2020-08-08,21686
222,2020-08-09,21714
223,2020-08-10,21837
224,2020-08-11,21937
225,2020-08-12,22018
226,2020-08-13,22150
227,2020-08-14,22068
228,2020-08-15,22068
229,2020-08-16,22193
230,2020-08-17,22136
231,2020-08-18,22131
232,2020-08-19,22269
233,2020-08-20,22177
234,2020-08-21,22119
235,2020-08-22,22030
236,2020-08-23,22151
237,2020-08-24,22188
238,2020-08-25,22096
239,2020-08-26,22014
240,2020-08-27,22016
241,2020-08-28,22071
242,2020-08-29,22073
243,2020-08-30,22001
244,2020-08-31,22142
245,2020-09-01,22167
246,2020-09-02,22072
247,2020-09-03,22067
248,2020-09-04,22025
249,2020-09-05,21932
250,2020-09-06,21905
251,2020-09-07,21838
252,2020-09-08,21965
253,2020-09-09,21962
254,2020-09-10,21982
255,2020-09-11,22103
256,2020-09-12,22180
257,2020-09-13,22212
258,2020-09-14,22215
259,2020-09-15,22362
260,2020-09-16,22408
261,2020-09-17,22491
262,2020-09-18,22560
263,2020-09-19,22619
264,2020-09-20,22571
265,2020-09-21,22666
266,2020-09-22,22794
267,2020-09-23,22748
268,2020-09-24,22804
269,2020-09-25,22803
270,2020-09-26,22841
271,2020-09-27,22758
272,2020-09-28,22801
273,2020-09-29,22804
274,2020-09-30,22807
275,2020-10-01,22945
276,2020-10-02,22973
277,2020-10-03,23015
278,2020-10-04,22954
279,2020-10-05,22951
280,2020-10-06,22892
281,2020-10-07,23030
282,2020-10-08,22956
283,2020-10-09,23004
284,2020-10-10,23065
285,2020-10-11,23100
286,2020-10-12,23209
287,2020-10-13,23123
288,2020-10-14,23149
289,2020-10-15,23223
290,2020-10-16,23345
291,2020-10-17,23442
292,2020-10-18,23470
293,2020-10-19,23386
294,2020-10-20,23453
295,2020-10-21,23527
296,2020-10-22,23628
